Type,Country,Total,LastUpdated
AA,England,3363,2023-10-23
AA,Scotland,606,2023-10-23
AA,Wales,145,2023-10-23
AA,Northern Ireland,299,2023-10-23
AA,Republic of Ireland,1217,2023-10-23
CA,England,581,2023-10-23
CA,Scotland,130,2023-10-23
CA,Wales,20,2023-10-23
CA,Northern Ireland,1,2023-10-23
CA,Republic of Ireland,53,2023-10-23
NA,England,903,2023-10-23
NA,Scotland,53,2023-10-23
NA,Wales,19,2023-10-23
NA,Northern Ireland,33,2023-10-23
NA,Republic of Ireland,214,2023-10-23
OA,England,65,2023-10-23
OA,Scotland,17,2023-10-23
OA,Wales,6,2023-10-23
OA,Northern Ireland,2,2023-10-23
OA,Republic of Ireland,26,2023-10-23
