Guid,Title,Time,Duration,Postcode,Latitude,Longitude,Venue,Address,What3Words,Day,Hearing,Wheelchair,Chit,Open,OpenFormat,Format,Note,Code,Region,RegionArea,RegionAreaOrder,RegionIdentifier,RegionIdentifierType,Country,MeetingType,MeetingTypeNamespace,ScrapedDetails,Date,Reason
da620509-abb9-5a4c-85cf-ef1854c3c8ce,Derby Newcomers Non Religious AA,18:00,1hr,DE1 3RD,52.934462,-1.473351,The Community Room,"Centurion Walk,Chester Green",armed.slap.arts,Tuesday,FALSE,TRUE,FALSE,FALSE,,,,7912,,,0,,,England,Alcoholics Anonymous,AA,TRUE,18/03/2024,Updated Whats3Words location
df1b5ae7-5307-5841-b1c7-d67289ad709b,Derby Non Religious AA,18:00,1hr,DE1 3RD,52.934462,-1.473351,The Community Room,"Centurion Walk,Chester Green",armed.slap.arts,Friday,FALSE,TRUE,FALSE,FALSE,,,,7916,,,0,,,England,Alcoholics Anonymous,AA,TRUE,18/03/2024,Updated Whats3Words location
c8c774ac-b658-591a-b40f-5a2663ee559c,Derby Non Religious AA,18:00,1hr,DE1 3RD,52.934462,-1.473351,The Community Room,"Centurion Walk,Chester Green",armed.slap.arts,Sunday,FALSE,TRUE,FALSE,FALSE,,,,7920,,,0,,,England,Alcoholics Anonymous,AA,TRUE,18/03/2024,Updated Whats3Words location
e66ec986-b526-5342-8b8c-1a0d028d5b09,Banbridge,20:00,,BT32 4PD,54.359982,-6.27357,,"2A Kiln Lane,Havelock Park,Lurgan Road,Banbridge,Co. Down",covertly.installs.presented,Tuesday,FALSE,FALSE,FALSE,FALSE,,,,,Down,Northern Ireland,15,DOWN,Region,Northern Ireland,Alcoholics Anonymous,AA,TRUE,18/03/2024,Removed from database
1114764b-ef42-5c7f-9720-37acaa911001,Banbridge,13:00,,BT32 4PD,54.359982,-6.27357,,"2A Kiln Lane,Havelock Park,Lurgan Road,Banbridge,Co. Down",covertly.installs.presented,Wednesday,FALSE,FALSE,FALSE,FALSE,,,,,Down,Northern Ireland,15,DOWN,Region,Northern Ireland,Alcoholics Anonymous,AA,TRUE,18/03/2024,Removed from database
32f16630-7b06-59a1-89b1-2a0cb49ee640,Banbridge,19:00,,BT32 4PD,54.359982,-6.27357,,"2A Kiln Lane,Havelock Park,Lurgan Road,Banbridge,Co. Down",covertly.installs.presented,Friday,FALSE,FALSE,FALSE,FALSE,,,,,Down,Northern Ireland,15,DOWN,Region,Northern Ireland,Alcoholics Anonymous,AA,TRUE,18/03/2024,Removed from database
30d8bae7-f4c1-5261-98bb-9fa010f15729,Banbridge,19:00,,BT32 4PD,54.359982,-6.27357,,"2A Kiln Lane,Havelock Park,Lurgan Road,Banbridge,Co. Down",covertly.installs.presented,Saturday,FALSE,FALSE,FALSE,FALSE,,Beginner,,,Down,Northern Ireland,15,DOWN,Region,Northern Ireland,Alcoholics Anonymous,AA,TRUE,18/03/2024,Removed from database
b91367fe-b2e6-577b-9bc8-9dfba0146cef,Banbridge,10:00,,BT32 4PD,54.359982,-6.27357,,"2A Kiln Lane,Havelock Park,Lurgan Road,Banbridge,Co. Down",covertly.installs.presented,Sunday,FALSE,FALSE,FALSE,FALSE,,Big Book,,,Down,Northern Ireland,15,DOWN,Region,Northern Ireland,Alcoholics Anonymous,AA,TRUE,18/03/2024,Removed from database
90d32513-8086-557a-be70-733a34ebeef2,Banbridge,20:00,,BT32 4PD,54.359982,-6.27357,,"2A Kiln Lane,Havelock Park,Lurgan Road,Banbridge,Co. Down",covertly.installs.presented,Sunday,FALSE,FALSE,FALSE,FALSE,,Steps,,,Down,Northern Ireland,15,DOWN,Region,Northern Ireland,Alcoholics Anonymous,AA,TRUE,18/03/2024,Removed from database
4f47e5ac-8438-52ab-a62e-786e3e1c812d,Belfast Rosetta,20:30,,BT7 3HX,54.569472,-5.913593,Newtownbreda Presbyterian Church,"374 - 378 Ormeau Road,Belfast,Co. Antrim",units.march.smoke,Friday,FALSE,FALSE,FALSE,FALSE,,,,,Antrim,Northern Ireland,15,ANTRIM,Region,Northern Ireland,Alcoholics Anonymous,AA,TRUE,18/03/2024,Removed from database
a2862c23-0fad-5e36-810e-66ac8d7a857e,Belfast Rosetta,20:30,,BT7 3HX,54.569472,-5.913593,Newtownbreda Presbyterian Church,"374 - 378 Ormeau Road,Belfast,Co. Antrim",units.march.smoke,Sunday,FALSE,FALSE,FALSE,FALSE,,,,,Antrim,Northern Ireland,15,ANTRIM,Region,Northern Ireland,Alcoholics Anonymous,AA,TRUE,18/03/2024,Removed from database
16916626-e57e-53e9-8c8d-583f9f1a8a6f,Rochford We Can Recover,17:30,1hr 15mins,SS4 1AS,51.582726,0.703041,Rochford Parish Rooms,"Rochford Parish Rooms,82 West St,Rochford",store.volunteered.ranges,Saturday,FALSE,FALSE,FALSE,FALSE,,"In-person,Speaker",THIS STARTS ON SATURDAY 13th APRIL 2024,rochford-we-can-recover,Essex,UK,0,essex,Region,England,Cocaine Anonymous,CA,TRUE,18/06/2024,Removed from database
